official_id,official_name,party,state,national_approve_count,national_disapprove_count,national_dont_know_count,national_total,approval_pct
0c982697-9a9e-40a5-8953-a2c5c62cd1cc,Steve Scalise,Republican,LA,0,0,1,1,0
3e8965cb-ceea-4de5-8664-374c3693bc0c,Tom Emmer,Republican,MN,0,1,0,1,0
2fb94bae-cf4c-4e18-aa9a-8fa6a73ebd08,Hakeem S. Jeffries,Democratic,NY,0,1,0,1,0
f74d811e-fa15-4438-8a8d-dc445b85ce35,Richard J. Durbin,Democratic,IL,0,1,0,1,0
18f69fc7-0d80-40d0-8f2b-1928f05795d7,Chuck Grassley,Republican,IA,1,0,0,1,100
18a96dfb-7ba6-44bb-9e32-9be34c124be6,James R. Baird,Republican,IN,1,0,0,1,100
b4300008-3c19-4097-99d8-91865cff4eba,Katherine M. Clark,Democratic,MA,0,1,0,1,0
38d73183-67b4-4119-ae6b-90a1c90b88c8,John Barrasso,Republican,WY,0,1,0,1,0
5005db12-1798-4072-a845-69b8cd8d1344,John Thune,Republican,SD,0,1,0,1,0
40221cac-7b81-42ff-9677-c6cde7d7129d,Jim Banks,Republican,IN,1,0,0,1,100
9a523ef7-8452-4d83-a5fd-9a4b567639e7,Charles E. Schumer,Democratic,NY,0,1,0,1,0
34301c00-e61c-4934-ada3-57948163e175,Todd Young,Republican,IN,1,0,0,1,100
0025ac56-39ab-4850-a70d-cce11bcaa0ab,Mike Johnson,Republican,LA,1,0,0,1,100
us_exec:epa_administrator,,,,1,0,0,1,100
us_exec:vice_president,,,,1,0,0,1,100
us_exec:fbi_director,,,,1,0,0,1,100
a6e1f29f-9f34-4f99-8b77-63df1e216606,,,,0,0,1,1,0
us_exec:secretary_of_treasury,,,,1,0,0,1,100
5ffbb37b-d94c-4a53-b13a-cfddc24a34e7,,,,0,1,0,1,0
92bd620a-8fab-4760-823a-4b1573824a0b,,,,0,0,1,1,0
a68d738b-c01f-40a8-b91e-386e0809b106,,,,0,0,1,1,0
b92d5995-4fb0-401d-9573-0d06696c8f10,,,,1,0,0,1,100
us_exec:secretary_of_health,,,,1,0,0,1,100
us_exec:secretary_of_defense,,,,1,0,0,1,100
5f1af0bb-7f20-4c69-ad82-ceaf8fdc6b18,,,,1,0,0,1,100
79c60f23-7d10-429b-b6a1-53f56c530a21,,,,0,0,1,1,0
us_exec:secretary_of_homeland_security,,,,1,0,0,1,100
8e190b2f-b088-40e9-b196-e394e541185b,,,,1,0,0,1,100
us_exec:president,,,,1,0,0,1,100
us_exec:secretary_of_state,,,,1,0,0,1,100
us_exec:attorney_general,,,,1,0,0,1,100
us_exec:director_of_national_intelligence,,,,1,0,0,1,100
