bill_id,congress,bill_type,bill_number,title,title_ai,introduced_date,status,sponsor_bioguide,sponsor_name,sponsor_party,sponsor_state,latest_action_date,latest_action_text,cosponsor_count
hr6572-119,119,HR,H.R.6572,Launching X–Labs for Breakthrough Science Act,Support breakthrough biomedical research at innovative institutions,2025-12-10,active,H001090,Josh Harder,Democratic,CA,2025-12-10,Referred to the House Committee on Energy and Commerce.,1
hr1558-119,119,HR,H.R.1558,Taxpayer Funds Oversight and Accountability Act,Monitor and account for taxpayer funds,,active,C001078,,,,,,0
s567-119,119,S,S.567,First Rhode Island Regiment Congressional Gold Medal Act,Award gold medal to First Rhode Island Regiment,,active,W000802,Sheldon Whitehouse,Democratic,RI,,,0
sjres29-119,119,SJRES,S.J.Res.29,"A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Air Plan Approval; Ohio; Withdrawal of Technical Amendment"".",Congress rejects EPA Ohio air plan withdrawal,,active,H001104,Jon Husted,Republican,OH,,,0
hr7281-119,119,HR,H.R.7281,Justice for Shireen Act,Justice for Shireen Act,2026-01-30,active,C001072,André Carson,Democratic,IN,2026-01-30,Referred to the House Committee on Foreign Affairs.,15
hr6908-119,119,HR,H.R.6908,Blue Envelope Awareness Act,Raise awareness of blue envelopes in law enforcement,,active,V000138,Eugene Simon Vindman,Democratic,VA,,,0
hr3334-119,119,HR,H.R.3334,USCP Empowerment Act of 2025,Empower Capitol Police for transportation infrastructure,2025-05-13,active,C001132,Elijah Crane,Republican,AZ,2026-02-02,Referred to the Subcommittee on Aviation.,0
s3621-119,119,S,S.3621,Protecting Taxpayers from Risky Investments in Venezuela Act,Safeguard taxpayers from risky Venezuela investments,,active,M001176,Jeff Merkley,Democratic,OR,,,0
s3492-119,119,S,S.3492,Essential Caregivers Act of 2025,Essential Caregivers in Healthcare Act,2025-12-16,active,B001277,Richard Blumenthal,Democratic,CT,2025-12-16,Read twice and referred to the Committee on Finance.,17
s718-119,119,S,S.718,Eric’s Law,Eric’s Law,,active,C001098,Ted Cruz,Republican,TX,,,0
hr5626-119,119,HR,H.R.5626,Taiwan and American Space Assistance Act of 2025,US Taiwan space assistance program,,active,H001072,J. French Hill,Republican,AR,,,0
hr4352-119,119,HR,H.R.4352,HOMES Act,HOMES Act,,active,S001223,Emilia Strong Sykes,Democratic,OH,,,0
hres1083-119,119,HRES,H.Res.1083,Honoring Mr. William DeHart Hubbard.,,2026-02-25,active,L000601,Greg Landsman,Democratic,OH,2026-02-25,Referred to the House Committee on Oversight and Government Reform.,3
hr6646-119,119,HR,H.R.6646,Empowering App-Based Workers Act,Empowering App-Based Workers Act,2025-12-11,active,J000298,Pramila Jayapal,Democratic,WA,2025-12-11,Referred to the House Committee on Education and Workforce.,12
hr4238-119,119,HR,H.R.4238,DLARA,DLARA,,In Committee,M001236,Tim Moore,Republican,NC,,,0
hres735-119,119,HRES,H.Res.735,"Supporting the designation of the month of July as ""American Families Month"".",Recognize July as American Families Month,,active,C001115,Michael Cloud,Republican,TX,,,0
sconres21-119,119,SCONRES,S.Con.Res.21,A concurrent resolution denouncing the horrors of socialism.,Condemning the horrors of socialism,,active,S001217,Rick Scott,Republican,FL,,,0
s683-119,119,S,S.683,More Behavioral Health Providers Act of 2025,Increase behavioral health providers,2025-02-24,active,P000595,Gary C. Peters,Democratic,MI,2025-02-24,Read twice and referred to the Committee on Finance.,1
hr7198-119,119,HR,H.R.7198,Ensuring Access to General Surgery Act of 2026,Revise health laws for surgery shortages areas,2026-01-22,active,B001287,Ami Bera,Democratic,CA,2026-01-22,Referred to the House Committee on Energy and Commerce.,3
hr1511-119,119,HR,H.R.1511,REDUCE Act,,2025-02-21,active,V000134,Beth Van Duyne,Republican,TX,2025-02-21,Referred to the House Committee on Oversight and Government Reform.,1
hr6220-119,119,HR,H.R.6220,MIRACLE Act of 2025,MIRACLE Act,,active,N000189,Dan Newhouse,Republican,WA,,,0
s3733-119,119,S,S.3733,"A bill to amend the Passport Act of June 4, 1920, to authorize certain public libraries to collect and retain a fee for the execution of a passport application.",Allow public libraries to charge for passport applications,2026-01-29,active,F000479,John Fetterman,Democratic,PA,2026-01-29,Read twice and referred to the Committee on Foreign Relations.,3
hr7235-119,119,HR,H.R.7235,Protecting Motherhood Act,Ensure protection for mothers and families,2026-01-23,active,B001325,Sheri Biggs,Republican,SC,2026-01-23,Referred to the House Committee on Oversight and Government Reform.,32
hr7404-119,119,HR,H.R.7404,Fair Repair Act,Fair Repair Act,2026-02-05,active,M001206,Joseph D. Morelle,Democratic,NY,2026-02-05,Referred to the House Committee on Energy and Commerce.,1
sres466-119,119,SRES,S.Res.466,"A resolution condemning President Trump's pardoning of Binance founder Changpeng Zhao, who had violated United States anti-money laundering laws, and calling for Congress to use its authority to stop this form of corruption.",Condemn Trump's pardon of crypto executive for money laundering,,active,W000817,Elizabeth Warren,Democratic,MA,,,0
hr2309-119,119,HR,H.R.2309,Medicare and Medicaid Fraud Prevention Act,Prevent fraud in Medicare and Medicaid,2025-03-24,active,P000608,Scott H. Peters,Democratic,CA,2025-03-24,Referred to the House Committee on Energy and Commerce.,7
hr2488-119,119,HR,H.R.2488,"To designate the facility of the United States Postal Service located at 3817 Marysville Boulevard in Sacramento, California, as the ""Grantland Johnson Post Office"".",Name Sacramento post office after Grantland Johnson,,active,B001287,Ami Bera,Democratic,CA,,,0
s3112-119,119,S,S.3112,Fairness for Fruits and Vegetables Act of 2025,Fair rules for fruits and vegetables farming,2025-11-05,active,S001208,Elissa Slotkin,Democratic,MI,2025-11-05,"Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.",1
hr7837-119,119,HR,H.R.7837,Most Favored Patient Act of 2026,,2026-03-05,active,M001204,Daniel Meuser,Republican,PA,2026-03-05,"Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",0
s1572-119,119,S,S.1572,Federal Carjacking Enforcement Act,Enforce laws against federal carjacking,,active,B001243,Marsha Blackburn,Republican,TN,,,0
hr6056-119,119,HR,H.R.6056,International Human Rights Defense Act of 2025,Defend human rights around the world,2025-11-17,active,G000598,Robert Garcia,Democratic,CA,2025-11-17,Referred to the House Committee on Foreign Affairs.,129
hr6877-119,119,HR,H.R.6877,Southern Mongolian Human Rights Policy Act,Human rights policy for Southern Mongolia,2025-12-18,active,M000312,James P. McGovern,Democratic,MA,2025-12-18,"Referred to the Committee on Foreign Affairs, and in addition to the Committees on the Judiciary, Financial Services, and House Administration, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",1
s994-119,119,S,S.994,PROTECT Students Act of 2025,Keep students safe in school,,active,D000563,Richard J. Durbin,Democratic,IL,,,0
hr2168-119,119,HR,H.R.2168,BO’s Act,BO’s Act,2025-03-14,active,Y000067,Rudy Yakym III,Republican,IN,2025-03-14,Referred to the House Committee on Energy and Commerce.,8
hr7034-119,119,HR,H.R.7034,"To amend the Internal Revenue Code of 1986 to eliminate the dollar limitations on the exclusion of gain from sales of principal residences, and for other purposes.",End limits on home sale tax exemptions,2026-01-13,active,G000601,Craig A. Goldman,Republican,TX,2026-01-13,Referred to the House Committee on Ways and Means.,5
hr685-119,119,HR,H.R.685,SAVE Moms and Babies Act of 2025,Protect health of mothers and babies,2025-01-23,active,L000566,Robert E. Latta,Republican,OH,2025-01-23,Referred to the House Committee on Energy and Commerce.,29
hr7176-119,119,HR,H.R.7176,Vets Connect Act,Create secure database for veterans to reconnect,,active,E000246,Chuck Edwards,Republican,NC,,,0
hr689-119,119,HR,H.R.689,FREE Act,FREE Act,,active,M001228,Celeste Maloy,Republican,UT,,,0
