bill_id,bill_number,bioguide_id,vote_position,vote_date,roll_call_number,chamber,party,state,district
,,B001230,Nay,2026-02-04,28,senate,D,WI,
,,D000563,Yea,2026-02-03,25,senate,D,IL,
,,K000367,Nay,2026-02-03,22,senate,D,MN,
hr7148-119,H.R. 7148,K000367,Nay,2026-01-30,14,senate,D,MN,
,,R000605,Yea,2026-01-05,1,senate,R,SD,
,,B001267,Nay,2025-12-18,657,senate,D,CO,
hr7147-119,H.R. 7147,A000382,Nay,2026-02-24,39,senate,D,MD,
hr7147-119,H.R. 7147,B001230,Nay,2026-02-24,39,senate,D,WI,
hr7147-119,H.R. 7147,B001299,Yea,2026-02-24,39,senate,R,IN,
hr7147-119,H.R. 7147,B001261,Yea,2026-02-24,39,senate,R,WY,
hr7147-119,H.R. 7147,B001267,Nay,2026-02-24,39,senate,D,CO,
hr7147-119,H.R. 7147,B001243,Yea,2026-02-24,39,senate,R,TN,
hr7147-119,H.R. 7147,B001277,Nay,2026-02-24,39,senate,D,CT,
hr7147-119,H.R. 7147,B001303,Nay,2026-02-24,39,senate,D,DE,
hr7147-119,H.R. 7147,B001288,Nay,2026-02-24,39,senate,D,NJ,
hr7147-119,H.R. 7147,B001236,Yea,2026-02-24,39,senate,R,AR,
hr7147-119,H.R. 7147,B001319,Yea,2026-02-24,39,senate,R,AL,
hr7147-119,H.R. 7147,B001305,Yea,2026-02-24,39,senate,R,NC,
,,B001236,Yea,2025-12-17,652,senate,R,AR,
s1071-119,S. 1071,D000622,Nay,2025-12-17,648,senate,D,IL,
,,M000355,Yea,2025-12-09,640,senate,R,KY,
,,K000367,Nay,2025-12-09,638,senate,D,MN,
,,M001242,Yea,2025-12-04,634,senate,R,OH,
,,B001230,Nay,2025-12-03,631,senate,D,WI,
,,M001111,Nay,2025-12-03,631,senate,D,WA,
hr7147-119,H.R. 7147,C000127,Nay,2026-02-24,39,senate,D,WA,
hr7147-119,H.R. 7147,C001047,Yea,2026-02-24,39,senate,R,WV,
hr7147-119,H.R. 7147,C001075,Yea,2026-02-24,39,senate,R,LA,
hr7147-119,H.R. 7147,C001035,Yea,2026-02-24,39,senate,R,ME,
hr7147-119,H.R. 7147,C001088,Nay,2026-02-24,39,senate,D,DE,
hr7147-119,H.R. 7147,C001056,Yea,2026-02-24,39,senate,R,TX,
hr7147-119,H.R. 7147,C001113,Nay,2026-02-24,39,senate,D,NV,
hr7147-119,H.R. 7147,C001095,Yea,2026-02-24,39,senate,R,AR,
hr7147-119,H.R. 7147,C001096,Yea,2026-02-24,39,senate,R,ND,
hr7147-119,H.R. 7147,C000880,Yea,2026-02-24,39,senate,R,ID,
hr7147-119,H.R. 7147,C001098,Yea,2026-02-24,39,senate,R,TX,
hr7147-119,H.R. 7147,C001114,Yea,2026-02-24,39,senate,R,UT,
hr7147-119,H.R. 7147,D000618,Yea,2026-02-24,39,senate,R,MT,
hr7147-119,H.R. 7147,D000622,Nay,2026-02-24,39,senate,D,IL,
