bioguide_id,official_name,party,state,industry_code,industry_name,total_amount,contribution_count,pct_of_total
C000127,Maria Cantwell,Democratic,WA,Q02,Democratic/Liberal,4000,1,0.4
C000127,Maria Cantwell,Democratic,WA,P05,Public Sector Unions,3000,3,0.3
C000127,Maria Cantwell,Democratic,WA,E19,Alternative Energy,-5000,1,-0.5
C000127,Maria Cantwell,Democratic,WA,E08,Waste Management,2500,1,0.25
C000127,Maria Cantwell,Democratic,WA,Q07,Environment,10,1,0
C000127,Maria Cantwell,Democratic,WA,B09,Electronics Mfg & Services,-1000,1,-0.1
C000127,Maria Cantwell,Democratic,WA,B08,Telecom Services & Equipment,-2500,1,-0.25
K000367,Amy Klobuchar,Democratic,MN,P05,Public Sector Unions,103044,16,2.08
K000367,Amy Klobuchar,Democratic,MN,Q02,Democratic/Liberal,15000,2,0.3
K000367,Amy Klobuchar,Democratic,MN,N09,Lodging/Tourism,5000,1,0.1
K000367,Amy Klobuchar,Democratic,MN,Q01,Republican/Conservative,10000,1,0.2
K000367,Amy Klobuchar,Democratic,MN,Q14,Misc Issues,13300,1,0.27
K000367,Amy Klobuchar,Democratic,MN,Q10,Guns Control,3500,2,0.07
K000367,Amy Klobuchar,Democratic,MN,Q12,Abortion Policy/Pro-Life,2500,1,0.05
K000367,Amy Klobuchar,Democratic,MN,F10,Real Estate,10000,1,0.2
K000367,Amy Klobuchar,Democratic,MN,N12,Misc Manufacturing & Distributing,-2500,1,-0.05
K000367,Amy Klobuchar,Democratic,MN,A01,Crop Production & Basic Processing,15000,3,0.3
K000367,Amy Klobuchar,Democratic,MN,M02,Automotive,10000,1,0.2
K000367,Amy Klobuchar,Democratic,MN,B08,Telecom Services & Equipment,1500,1,0.03
K000367,Amy Klobuchar,Democratic,MN,A10,Food Processing & Sales,1000,2,0.02
K000367,Amy Klobuchar,Democratic,MN,E08,Waste Management,5000,1,0.1
K000367,Amy Klobuchar,Democratic,MN,F09,Mortgage Bankers & Brokers,2500,1,0.05
K000367,Amy Klobuchar,Democratic,MN,M03,Trucking,10000,1,0.2
K000367,Amy Klobuchar,Democratic,MN,N08,Casinos/Gambling,10000,1,0.2
K000367,Amy Klobuchar,Democratic,MN,N03,"Beer, Wine & Liquor",15000,2,0.3
K000367,Amy Klobuchar,Democratic,MN,N01,Food & Beverage,5000,1,0.1
K000367,Amy Klobuchar,Democratic,MN,Q07,Environment,5000,1,0.1
W000802,Sheldon Whitehouse,Democratic,RI,N03,"Beer, Wine & Liquor",10000,2,0.56
W000802,Sheldon Whitehouse,Democratic,RI,F10,Real Estate,14000,3,0.78
W000802,Sheldon Whitehouse,Democratic,RI,Q02,Democratic/Liberal,7500,2,0.42
W000802,Sheldon Whitehouse,Democratic,RI,P05,Public Sector Unions,69100,16,3.86
W000802,Sheldon Whitehouse,Democratic,RI,Q14,Misc Issues,10000,1,0.56
W000802,Sheldon Whitehouse,Democratic,RI,F09,Mortgage Bankers & Brokers,5000,1,0.28
W000802,Sheldon Whitehouse,Democratic,RI,C50,Building Materials & Equipment,1000,1,0.06
W000802,Sheldon Whitehouse,Democratic,RI,Q12,Abortion Policy/Pro-Life,2500,1,0.14
W000802,Sheldon Whitehouse,Democratic,RI,Q11,Abortion Policy/Pro-Choice,7518,2,0.42
W000802,Sheldon Whitehouse,Democratic,RI,M02,Automotive,10000,1,0.56
W000802,Sheldon Whitehouse,Democratic,RI,Q07,Environment,1010,2,0.06
W000802,Sheldon Whitehouse,Democratic,RI,N14,Textiles,1000,1,0.06
W000802,Sheldon Whitehouse,Democratic,RI,B09,Electronics Mfg & Services,-1000,1,-0.06
W000802,Sheldon Whitehouse,Democratic,RI,F07,Accountants,5000,1,0.28
W000802,Sheldon Whitehouse,Democratic,RI,Q03,Leadership PACs,10000,1,0.56
B001261,John Barrasso,Republican,WY,N01,Food & Beverage,15000,4,0.49
B001261,John Barrasso,Republican,WY,F09,Mortgage Bankers & Brokers,36000,7,1.17
B001261,John Barrasso,Republican,WY,N03,"Beer, Wine & Liquor",18000,4,0.59
B001261,John Barrasso,Republican,WY,B09,Electronics Mfg & Services,10000,2,0.33
B001261,John Barrasso,Republican,WY,M03,Trucking,33000,4,1.08
B001261,John Barrasso,Republican,WY,C50,Building Materials & Equipment,20000,3,0.65
B001261,John Barrasso,Republican,WY,E07,Mining,2500,1,0.08
B001261,John Barrasso,Republican,WY,Q01,Republican/Conservative,-42743,2,-1.39
B001261,John Barrasso,Republican,WY,F04,Insurance,23500,6,0.77
B001261,John Barrasso,Republican,WY,E01,Oil & Gas,124313,18,4.06
B001261,John Barrasso,Republican,WY,A09,Forestry & Forest Products,10000,2,0.33
B001261,John Barrasso,Republican,WY,N04,Retail Sales,5000,1,0.16
B001261,John Barrasso,Republican,WY,P05,Public Sector Unions,9500,3,0.31
B001261,John Barrasso,Republican,WY,E12,Electric Utilities,25750,6,0.84
B001261,John Barrasso,Republican,WY,M05,Sea Transport,7000,2,0.23
B001261,John Barrasso,Republican,WY,N09,Lodging/Tourism,7500,1,0.24
B001261,John Barrasso,Republican,WY,N00,Misc Business,5000,1,0.16
B001261,John Barrasso,Republican,WY,F07,Accountants,75500,12,2.46
B001261,John Barrasso,Republican,WY,B08,Telecom Services & Equipment,29500,5,0.96
B001261,John Barrasso,Republican,WY,N12,Misc Manufacturing & Distributing,28500,4,0.93
B001261,John Barrasso,Republican,WY,M02,Automotive,24000,4,0.78
B001261,John Barrasso,Republican,WY,E08,Waste Management,51000,8,1.66
B001261,John Barrasso,Republican,WY,F10,Real Estate,31500,4,1.03
B001261,John Barrasso,Republican,WY,A04,Dairy,10000,1,0.33
B001261,John Barrasso,Republican,WY,C05,Special Trade Contractors,5000,1,0.16
B001261,John Barrasso,Republican,WY,N13,Steel/Metals/Mining,10000,1,0.33
B001261,John Barrasso,Republican,WY,F01,Commercial Banks,15500,3,0.51
B001261,John Barrasso,Republican,WY,E19,Alternative Energy,6000,2,0.2
B001261,John Barrasso,Republican,WY,F13,Hedge Funds/Private Equity,5000,1,0.16
B001261,John Barrasso,Republican,WY,F06,Finance/Credit Companies,7000,2,0.23
B001261,John Barrasso,Republican,WY,Q03,Leadership PACs,15000,2,0.49
B001261,John Barrasso,Republican,WY,Q09,Guns Rights,11000,1,0.36
B001261,John Barrasso,Republican,WY,C01,General Contractors,3000,1,0.1
B001261,John Barrasso,Republican,WY,N08,Casinos/Gambling,10000,1,0.33
B001261,John Barrasso,Republican,WY,B01,Printing & Publishing,1000,1,0.03
B001261,John Barrasso,Republican,WY,C06,Construction Services,3000,1,0.1
W000437,Roger F. Wicker,Republican,MS,B09,Electronics Mfg & Services,2000,1,0.62
C001035,Susan M. Collins,Republican,ME,N01,Food & Beverage,14000,4,0.27
C001035,Susan M. Collins,Republican,ME,M05,Sea Transport,25000,4,0.48
C001035,Susan M. Collins,Republican,ME,E01,Oil & Gas,12500,5,0.24
C001035,Susan M. Collins,Republican,ME,Q01,Republican/Conservative,240822,4,4.63
C001035,Susan M. Collins,Republican,ME,E08,Waste Management,3500,1,0.07
C001035,Susan M. Collins,Republican,ME,N09,Lodging/Tourism,5000,1,0.1
C001035,Susan M. Collins,Republican,ME,F04,Insurance,14700,6,0.28
C001035,Susan M. Collins,Republican,ME,P05,Public Sector Unions,6000,4,0.12
C001035,Susan M. Collins,Republican,ME,A09,Forestry & Forest Products,5000,1,0.1
C001035,Susan M. Collins,Republican,ME,F09,Mortgage Bankers & Brokers,20500,7,0.39
C001035,Susan M. Collins,Republican,ME,M02,Automotive,20000,4,0.38
C001035,Susan M. Collins,Republican,ME,F10,Real Estate,12000,3,0.23
C001035,Susan M. Collins,Republican,ME,M03,Trucking,7500,4,0.14
C001035,Susan M. Collins,Republican,ME,N00,Misc Business,2500,1,0.05
C001035,Susan M. Collins,Republican,ME,C50,Building Materials & Equipment,15000,2,0.29
C001035,Susan M. Collins,Republican,ME,F07,Accountants,16500,5,0.32
C001035,Susan M. Collins,Republican,ME,B08,Telecom Services & Equipment,21000,3,0.4
C001035,Susan M. Collins,Republican,ME,N12,Misc Manufacturing & Distributing,8500,3,0.16
C001035,Susan M. Collins,Republican,ME,E12,Electric Utilities,5000,1,0.1
C001035,Susan M. Collins,Republican,ME,C05,Special Trade Contractors,3500,1,0.07
C001035,Susan M. Collins,Republican,ME,N03,"Beer, Wine & Liquor",6000,2,0.12
C001035,Susan M. Collins,Republican,ME,B09,Electronics Mfg & Services,2000,1,0.04
C001035,Susan M. Collins,Republican,ME,F01,Commercial Banks,5000,1,0.1
C001035,Susan M. Collins,Republican,ME,E19,Alternative Energy,1000,1,0.02
C001035,Susan M. Collins,Republican,ME,F06,Finance/Credit Companies,8500,3,0.16
C001035,Susan M. Collins,Republican,ME,N14,Textiles,1000,1,0.02
C001035,Susan M. Collins,Republican,ME,Q03,Leadership PACs,10000,1,0.19
C001035,Susan M. Collins,Republican,ME,N06,Business Services,1000,1,0.02
C001056,John Cornyn,Republican,TX,E08,Waste Management,16500,5,0.21
C001056,John Cornyn,Republican,TX,N13,Steel/Metals/Mining,1000,1,0.01
C001056,John Cornyn,Republican,TX,Q01,Republican/Conservative,4593637,3,57.91
C001056,John Cornyn,Republican,TX,H05,Misc Health,10000,1,0.13
C001056,John Cornyn,Republican,TX,F04,Insurance,6000,2,0.08
C001056,John Cornyn,Republican,TX,N04,Retail Sales,6500,1,0.08
C001056,John Cornyn,Republican,TX,F09,Mortgage Bankers & Brokers,58000,10,0.73
C001056,John Cornyn,Republican,TX,F10,Real Estate,8000,2,0.1
C001056,John Cornyn,Republican,TX,N09,Lodging/Tourism,5000,1,0.06
C001056,John Cornyn,Republican,TX,N03,"Beer, Wine & Liquor",13000,4,0.16
C001056,John Cornyn,Republican,TX,A09,Forestry & Forest Products,5000,1,0.06
C001056,John Cornyn,Republican,TX,E01,Oil & Gas,49750,11,0.63
C001056,John Cornyn,Republican,TX,N00,Misc Business,3500,1,0.04
C001056,John Cornyn,Republican,TX,M05,Sea Transport,4500,2,0.06
C001056,John Cornyn,Republican,TX,C50,Building Materials & Equipment,13000,3,0.16
C001056,John Cornyn,Republican,TX,N01,Food & Beverage,13000,4,0.16
C001056,John Cornyn,Republican,TX,B08,Telecom Services & Equipment,18000,6,0.23
C001056,John Cornyn,Republican,TX,F07,Accountants,27500,7,0.35
C001056,John Cornyn,Republican,TX,N02,Tobacco,5000,1,0.06
C001056,John Cornyn,Republican,TX,N12,Misc Manufacturing & Distributing,11500,3,0.14
C001056,John Cornyn,Republican,TX,M02,Automotive,25000,5,0.32
C001056,John Cornyn,Republican,TX,M03,Trucking,19500,4,0.25
C001056,John Cornyn,Republican,TX,P05,Public Sector Unions,10000,3,0.13
C001056,John Cornyn,Republican,TX,E12,Electric Utilities,8000,2,0.1
C001056,John Cornyn,Republican,TX,C05,Special Trade Contractors,2000,1,0.03
C001056,John Cornyn,Republican,TX,B09,Electronics Mfg & Services,6250,2,0.08
C001056,John Cornyn,Republican,TX,Q03,Leadership PACs,25000,3,0.32
C001056,John Cornyn,Republican,TX,F01,Commercial Banks,8500,2,0.11
C001056,John Cornyn,Republican,TX,E19,Alternative Energy,7000,1,0.09
C001056,John Cornyn,Republican,TX,F06,Finance/Credit Companies,7500,2,0.09
C001056,John Cornyn,Republican,TX,A01,Crop Production & Basic Processing,1500,1,0.02
C001056,John Cornyn,Republican,TX,C06,Construction Services,5000,1,0.06
D000563,Richard J. Durbin,Democratic,IL,B08,Telecom Services & Equipment,2000,1,0.32
D000563,Richard J. Durbin,Democratic,IL,P05,Public Sector Unions,2000,1,0.32
D000563,Richard J. Durbin,Democratic,IL,F09,Mortgage Bankers & Brokers,1000,1,0.16
D000563,Richard J. Durbin,Democratic,IL,F10,Real Estate,1200,1,0.19
D000563,Richard J. Durbin,Democratic,IL,N12,Misc Manufacturing & Distributing,2000,1,0.32
D000563,Richard J. Durbin,Democratic,IL,E01,Oil & Gas,2500,1,0.4
D000563,Richard J. Durbin,Democratic,IL,E19,Alternative Energy,1750,1,0.28
D000563,Richard J. Durbin,Democratic,IL,N04,Retail Sales,2500,1,0.4
D000563,Richard J. Durbin,Democratic,IL,Q07,Environment,500,1,0.08
D000563,Richard J. Durbin,Democratic,IL,N01,Food & Beverage,1000,1,0.16
G000359,Lindsey Graham,Republican,SC,F09,Mortgage Bankers & Brokers,7000,3,0.18
G000359,Lindsey Graham,Republican,SC,F10,Real Estate,10000,2,0.26
G000359,Lindsey Graham,Republican,SC,E08,Waste Management,12500,4,0.32
G000359,Lindsey Graham,Republican,SC,Q01,Republican/Conservative,-13366,2,-0.35
G000359,Lindsey Graham,Republican,SC,M03,Trucking,6000,2,0.15
G000359,Lindsey Graham,Republican,SC,A09,Forestry & Forest Products,5000,1,0.13
G000359,Lindsey Graham,Republican,SC,N00,Misc Business,2000,1,0.05
G000359,Lindsey Graham,Republican,SC,B08,Telecom Services & Equipment,6000,2,0.15
G000359,Lindsey Graham,Republican,SC,F07,Accountants,3000,2,0.08
G000359,Lindsey Graham,Republican,SC,N12,Misc Manufacturing & Distributing,2500,1,0.06
G000359,Lindsey Graham,Republican,SC,M02,Automotive,12000,3,0.31
G000359,Lindsey Graham,Republican,SC,M05,Sea Transport,7500,2,0.19
G000359,Lindsey Graham,Republican,SC,E01,Oil & Gas,23500,5,0.61
G000359,Lindsey Graham,Republican,SC,C50,Building Materials & Equipment,5000,1,0.13
G000359,Lindsey Graham,Republican,SC,Q03,Leadership PACs,5000,1,0.13
G000359,Lindsey Graham,Republican,SC,F01,Commercial Banks,2500,2,0.06
G000359,Lindsey Graham,Republican,SC,N14,Textiles,1000,1,0.03
G000359,Lindsey Graham,Republican,SC,E12,Electric Utilities,1000,1,0.03
G000359,Lindsey Graham,Republican,SC,Q09,Guns Rights,5000,1,0.13
G000359,Lindsey Graham,Republican,SC,B09,Electronics Mfg & Services,1000,1,0.03
G000359,Lindsey Graham,Republican,SC,N08,Casinos/Gambling,10000,1,0.26
G000359,Lindsey Graham,Republican,SC,B13,Internet,1000,1,0.03
G000359,Lindsey Graham,Republican,SC,B01,Printing & Publishing,7500,1,0.19
G000359,Lindsey Graham,Republican,SC,N01,Food & Beverage,7500,1,0.19
M000355,Mitch McConnell,Republican,KY,F10,Real Estate,5000,1,1.18
M000355,Mitch McConnell,Republican,KY,Q01,Republican/Conservative,-3579,1,-0.84
M000355,Mitch McConnell,Republican,KY,B08,Telecom Services & Equipment,7500,3,1.77
M000355,Mitch McConnell,Republican,KY,F09,Mortgage Bankers & Brokers,2000,2,0.47
M000355,Mitch McConnell,Republican,KY,M03,Trucking,0,2,0
M000355,Mitch McConnell,Republican,KY,M05,Sea Transport,2000,1,0.47
M000355,Mitch McConnell,Republican,KY,F07,Accountants,5000,2,1.18
M000355,Mitch McConnell,Republican,KY,E08,Waste Management,-1000,2,-0.24
