bioguide_id,name,party,state,district,chamber,role,phone,website,leadership_role
S001176,Steve Scalise,Republican,LA,1,house,U.S. Representative,202-225-3015,https://scalise.house.gov,house_majority_leader
E000294,Tom Emmer,Republican,MN,6,house,U.S. Representative,202-225-2331,https://emmer.house.gov,house_majority_whip
J000294,Hakeem S. Jeffries,Democratic,NY,8,house,U.S. Representative,202-225-5936,https://jeffries.house.gov,house_minority_leader
D000563,Richard J. Durbin,Democratic,IL,,senate,U.S. Senator,202-224-2152,https://www.durbin.senate.gov,senate_minority_whip
G000386,Chuck Grassley,Republican,IA,,senate,U.S. Senator,202-224-3744,https://www.grassley.senate.gov,senate_president_pro_tempore
B001307,James R. Baird,Republican,IN,4,house,U.S. Representative,202-225-5037,https://baird.house.gov,
C000127,Maria Cantwell,Democratic,WA,,senate,U.S. Senator,202-224-3441,https://www.cantwell.senate.gov,
K000367,Amy Klobuchar,Democratic,MN,,senate,U.S. Senator,202-224-3244,https://www.klobuchar.senate.gov,
A000055,Robert B. Aderholt,Republican,AL,4,house,U.S. Representative,202-225-4876,https://aderholt.house.gov,
D000616,Scott DesJarlais,Republican,TN,4,house,U.S. Representative,202-225-6831,https://desjarlais.house.gov,
L000562,Stephen F. Lynch,Democratic,MA,8,house,U.S. Representative,202-225-8273,https://lynch.house.gov,
S001185,Terri A. Sewell,Democratic,AL,7,house,U.S. Representative,202-225-2665,https://sewell.house.gov,
H001068,Jared Huffman,Democratic,CA,2,house,U.S. Representative,202-225-5161,https://huffman.house.gov,
C001101,Katherine M. Clark,Democratic,MA,5,house,U.S. Representative,202-225-2836,https://katherineclark.house.gov,house_minority_whip
S001195,Jason Smith,Republican,MO,8,house,U.S. Representative,202-225-4404,https://jasonsmith.house.gov,
N000188,Donald Norcross,Democratic,NJ,1,house,U.S. Representative,202-225-6501,https://norcross.house.gov,
B001292,"Donald S. Beyer, Jr.",Democratic,VA,8,house,U.S. Representative,202-225-4376,https://beyer.house.gov,
E000297,Adriano Espaillat,Democratic,NY,13,house,U.S. Representative,202-225-4365,https://espaillat.house.gov,
P000617,Ayanna Pressley,Democratic,MA,7,house,U.S. Representative,202-225-5111,https://pressley.house.gov,
L000273,Teresa Leger Fernandez,Democratic,NM,3,house,U.S. Representative,202-225-6190,https://fernandez.house.gov,
C001126,Mike Carey,Republican,OH,15,house,U.S. Representative,202-225-2015,https://carey.house.gov,
